"filename", "language", "YAML", "Markdown", "Dart", "Swift", "C++", "XML", "JSON", "Groovy", "Properties", "comment", "blank", "total"
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_table.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_table.g.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_wall.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_wall.g.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\restaurant_plan.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\restaurant_plan.g.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_details.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_details.g.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_list_item.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_list_item.g.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\utils\id_wrapper.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\utils\new_reservation_params.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Uni\bakis\Projektas\reservation_app\lib\config\environment.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Uni\bakis\Projektas\reservation_app\lib\home.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Uni\bakis\Projektas\reservation_app\lib\login.dart", "Dart", 0, 0, 187, 0, 0, 0, 0, 0, 0, 2, 20, 209
"c:\Uni\bakis\Projektas\reservation_app\lib\main.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Uni\bakis\Projektas\reservation_app\lib\qr_scan.dart", "Dart", 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 27, 414
"c:\Uni\bakis\Projektas\reservation_app\lib\qr_scan_confirm.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Uni\bakis\Projektas\reservation_app\lib\register.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 1, 17, 191
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\date_time_picker.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 16, 178
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\make_reservation.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 23, 196
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\reservation_created.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\reservation_summary.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 4, 172
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\table_picker.dart", "Dart", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 32, 275
"c:\Uni\bakis\Projektas\reservation_app\lib\reservations.dart", "Dart", 0, 0, 321, 0, 0, 0, 0, 0, 0, 2, 33, 356
"c:\Uni\bakis\Projektas\reservation_app\lib\restaurant_details.dart", "Dart", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 11, 200
"c:\Uni\bakis\Projektas\reservation_app\lib\restaurants.dart", "Dart", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 24, 203
"c:\Uni\bakis\Projektas\reservation_app\lib\services\animated_routes.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Uni\bakis\Projektas\reservation_app\lib\services\http_requests.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Uni\bakis\Projektas\reservation_app\lib\services\jwt_helper.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Uni\bakis\Projektas\reservation_app\lib\splash.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Uni\bakis\Projektas\reservation_app\lib\utils\loading_spinner.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Uni\bakis\Projektas\reservation_app\pubspec.yaml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 91
"c:\Uni\bakis\Projektas\reservation_app\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 29, 13, 3033, 12, 1, 127, 145, 81, 8, 177, 489, 4115
